iter	RMSE
0	1.120602547
1	1.085483735
2	1.053563278
3	1.025245434
4	0.9976156172
5	0.9722393844
6	0.9482530923
7	0.9243731138
8	0.9025047464
9	0.8799546636
10	0.8579803602
11	0.8398086484
12	0.8214545371
13	0.803861263
14	0.7890305831
15	0.7747118394
16	0.7612546881
17	0.7470117253
18	0.7344950586
19	0.7230672844
20	0.7108184278
21	0.7011278412
22	0.6903369456
23	0.6797337926
24	0.6703910414
25	0.6612538274
26	0.6531382621
27	0.6463638574
28	0.6390010554
29	0.6328065355
30	0.6263384593
31	0.6211393193
32	0.614390936
33	0.6088590431
34	0.6031708999
35	0.5987442041
36	0.5926863453
37	0.5887845139
38	0.5847009941
39	0.5811996873
40	0.5759526291
41	0.5717453849
42	0.5680670578
43	0.5646395005
44	0.5621701391
45	0.5595358632
46	0.5568238523
47	0.5543144624
48	0.5506477196
49	0.5483681416
50	0.544897446
51	0.5429098706
52	0.5408953195
53	0.5388917222
54	0.5371581981
55	0.5350442608
56	0.5331602448
57	0.531435053
58	0.5293062489
59	0.5275315156
60	0.5257266151
61	0.5245377163
62	0.5232357575
63	0.5218344148
64	0.5205363408
65	0.5186951072
66	0.5172248596
67	0.5153576231
68	0.5133399949
69	0.5115049665
70	0.5103685179
71	0.5086513005
72	0.5075268508
73	0.5062786314
74	0.504867567
75	0.5035341778
76	0.5022491341
77	0.500956091
78	0.4999103304
79	0.4987030102
80	0.4976471796
81	0.4966515792
82	0.4957915303
83	0.4945608262
84	0.4936227419
85	0.4926186423
86	0.4913489461
87	0.4903528444
88	0.489481714
89	0.487998346
90	0.4871035251
91	0.4862842655
92	0.4854773108
93	0.484850172
94	0.4840034998
95	0.4833045486
96	0.4822808622
97	0.4815707317
98	0.4808886419
99	0.4802286006
100	0.4793414427
101	0.4785567176
102	0.4774652472
103	0.4767323464
104	0.4760039567
105	0.4752107507
106	0.4743465621
107	0.4735456397
108	0.4726763881
109	0.4718477094
110	0.4711214248
111	0.4701759701
112	0.4695080116
113	0.4689259091
114	0.4679691836
115	0.4673811682
116	0.4666800282
117	0.4659391377
118	0.4654169143
119	0.4647622612
