iter	Passed	Remaining
0	92	92168
1	118	58998
2	143	47571
3	165	41312
4	201	40167
5	237	39388
6	274	38943
7	329	40811
8	411	45342
9	487	48236
10	513	46163
11	535	44119
12	567	43091
13	591	41655
14	612	40214
15	634	39000
16	656	37951
17	680	37144
18	702	36272
19	724	35496
20	748	34883
21	773	34368
22	795	33784
23	815	33169
24	837	32669
25	866	32457
26	888	32035
27	910	31598
28	932	31218
29	954	30878
30	981	30667
31	1004	30381
32	1026	30089
33	1049	29826
34	1076	29670
35	1098	29420
36	1121	29187
37	1144	28961
38	1171	28870
39	1205	28936
40	1250	29255
41	1293	29507
42	1348	30020
43	1400	30423
44	1437	30511
45	1463	30350
46	1490	30228
47	1518	30112
48	1545	30002
49	1571	29856
50	1596	29707
51	1622	29585
52	1650	29487
53	1680	29431
54	1712	29415
55	1738	29313
56	1760	29130
57	1786	29007
58	1814	28937
59	1837	28789
60	1859	28620
61	1880	28453
62	1904	28329
63	1926	28173
64	1950	28064
65	1973	27925
66	1998	27827
67	2020	27695
68	2042	27564
69	2066	27450
70	2091	27360
71	2113	27243
72	2136	27135
73	2158	27009
74	2200	27139
75	2240	27242
76	2290	27457
77	2325	27493
78	2366	27584
79	2423	27875
80	2447	27764
81	2469	27641
82	2492	27533
83	2515	27429
84	2537	27311
85	2559	27202
86	2585	27137
87	2608	27028
88	2630	26926
89	2651	26808
90	2672	26698
91	2699	26643
92	2721	26537
93	2743	26445
94	2765	26349
95	2790	26277
96	2812	26177
97	2832	26072
98	2854	25975
99	2878	25905
100	2902	25833
101	2927	25770
102	2948	25673
103	2969	25587
104	2994	25528
105	3017	25448
106	3042	25389
107	3063	25304
108	3090	25260
109	3113	25190
110	3140	25154
111	3165	25101
112	3208	25185
113	3246	25233
114	3290	25323
115	3330	25380
116	3379	25501
117	3439	25705
118	3461	25625
119	3489	25590
120	3515	25540
121	3539	25469
122	3560	25384
123	3581	25302
124	3607	25255
125	3629	25174
126	3651	25100
127	3674	25030
128	3696	24960
129	3718	24886
130	3740	24811
131	3763	24747
132	3788	24697
133	3813	24644
134	3837	24585
135	3858	24511
136	3880	24443
137	3905	24392
138	3927	24330
139	3952	24277
140	3974	24212
141	4003	24189
142	4027	24137
143	4051	24083
144	4072	24013
145	4098	23975
146	4122	23920
147	4149	23885
148	4183	23893
149	4235	24001
150	4277	24048
